template_path,slot_key,content_provider,name,description,is_active
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-1,SprykerCmsSlotBlock,Footer,"In the Store Footer section, On Desktop, left side of the Store Footer. On Mobile, top of the Store Footer.",1
@HomePage/views/home/home.twig,slt-2,SprykerCmsSlotBlock,Full Width Carousel,"Top promotions section, below Store Header including Navigation, and above rest of the Home Page Content.",1
@HomePage/views/home/home.twig,slt-3,SprykerCmsSlotBlock,Main Content,"Homepage main content section, below Top Promotions section, and above Store Footer.",1
@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,slt-4,SprykerCmsSlotBlock,Top,"On Desktop it's below the Category Image above the Products Grid/List, right side to the Grid/List selector and width is same as the Products Grid/List. On Mobile it's below the Filters/Sorting, above Grid/List selector and width is same as the Products Grid/List.",1
@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,slt-5,SprykerCmsSlotBlock,Middle,"On Desktop it's below the Filters/Sorting and width is same as the the Filters/Sorting. No Mobile.",1
@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,slt-6,SprykerCmsSlotBlock,Bottom,"On Desktop and on Mobile it's below the Pagination above the Store Footer, width is same as the Products Grid/List.",1
@ProductDetailPage/views/pdp/pdp.twig,slt-7,SprykerCmsSlotBlock,Bottom,"Exists both on Desktop and Mobile below the Product Details and above Store Footer. Width is as the Product Details.",1
@Cms/templates/placeholders-title-content-slot/placeholders-title-content-slot.twig,slt-8,SprykerCmsSlotBlock,Bottom,"Exists both on Desktop and Mobile below the CMS Page Placeholders and above Store Footer.",1
@HomePage/views/home/home.twig,slt-1st-in-frame,SprykerCmsSlotBlock,1st in-frame full width Content,"1st Content section for full width rectangle Blocks in the Home Page, below Top Promotions section, and above Grid section.",1
@HomePage/views/home/home.twig,3-elements-slt-in-frame-grid-content,SprykerCmsSlotBlock,3 elements in-frame Grid Content,"A Content section for square Blocks in the Home Page, below 1st in-frame full width section, and above 2nd in-frame full width section.",1
@HomePage/views/home/home.twig,4-elements-slt-in-frame-grid-content,SprykerCmsSlotBlock,4 elements in-frame Grid Content,A Content section for square Blocks in the Home Page with 4 element inside.,1
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-123,SprykerCmsSlotBlock,Header Top,"A content area in the Header section, that is above the logo, search section and main navigation.",1
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-desktop-header,SprykerCmsSlotBlock,Header desktop view,"In the store Header section, On desktop, below the logo.",1
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-footer,SprykerCmsSlotBlock,Footer,"In the store Footer section, On desktop, bottom of the page. On mobile, bottom of the page.",1
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-mobile-header,SprykerCmsSlotBlock,Header mobile view,"In the store Header section. On mobile, under the hamburger menu.",1
@HomePage/views/home/home.twig,slt-popular-categories,SprykerCmsSlotBlock,Popular categories view,"In the store section.",1
@HomePage/views/home/home.twig,quick-links-slt,SprykerCmsSlotBlock,quick-links-slt,A Content section for quick links below the banner section.,1
