id_color;fore_color;back_color;circle_color
1;#FFF99E;#333333;#333333
2;#DFF4FF;#333333;#333333
3;#D2FFCB;#333333;#333333
4;#FFE013;#333333;#333333
5;#92DAFF;#333333;#333333
6;#5AE046;#333333;#333333
7;#FFAA34;#333333;#333333
8;#1AA8F0;#333333;#333333
9;#01D8A5;#333333;#333333
10;#FA5911;#FFFFFF;#333333
11;#1182A8;#FFFFFF;#333333
12;#41A132;#FFFFFF;#333333
13;#DE0000;#FFFFFF;#000000
14;#0D3375;#FFFFFF;#000000
15;#064B10;#FFFFFF;#000000
16;#740000;#FFFFFF;#000000
17;#0D0943;#FFFFFF;#000000
18;#012416;#FFFFFF;#000000
19;#FFF99E;#333333;#333333
20;#DFF4FF;#333333;#333333
21;#D2FFCB;#333333;#333333
22;#FFE013;#333333;#333333
23;#92DAFF;#333333;#333333
24;#5AE046;#333333;#333333
25;#FFAA34;#333333;#333333
26;#1AA8F0;#333333;#333333
27;#01D8A5;#333333;#333333
28;#FA5911;#FFFFFF;#333333
29;#1182A8;#FFFFFF;#333333
30;#41A132;#FFFFFF;#333333
31;#DE0000;#FFFFFF;#000000
32;#0D3375;#FFFFFF;#000000
33;#064B10;#FFFFFF;#000000
34;#740000;#FFFFFF;#000000
35;#0D0943;#FFFFFF;#000000
36;#012416;#FFFFFF;#000000
37;#FFF99E;#333333;#333333
38;#DFF4FF;#333333;#333333
39;#D2FFCB;#333333;#333333
40;#FFE013;#333333;#333333
41;#92DAFF;#333333;#333333
42;#5AE046;#333333;#333333
43;#FFAA34;#333333;#333333
44;#1AA8F0;#333333;#333333
45;#01D8A5;#333333;#333333
46;#FA5911;#FFFFFF;#333333
47;#1182A8;#FFFFFF;#333333
48;#41A132;#FFFFFF;#333333
49;#DE0000;#FFFFFF;#000000
50;#0D3375;#FFFFFF;#000000
51;#064B10;#FFFFFF;#000000
52;#740000;#FFFFFF;#000000
53;#0D0943;#FFFFFF;#000000
54;#012416;#FFFFFF;#000000
55;#FFF99E;#333333;#333333
56;#DFF4FF;#333333;#333333
57;#D2FFCB;#333333;#333333
58;#FFE013;#333333;#333333
59;#92DAFF;#333333;#333333
60;#5AE046;#333333;#333333
61;#FFAA34;#333333;#333333
62;#1AA8F0;#333333;#333333
63;#01D8A5;#333333;#333333
64;#FA5911;#FFFFFF;#333333
65;#1182A8;#FFFFFF;#333333
66;#41A132;#FFFFFF;#333333
67;#DE0000;#FFFFFF;#000000
68;#0D3375;#FFFFFF;#000000
69;#064B10;#FFFFFF;#000000
70;#740000;#FFFFFF;#000000
71;#0D0943;#FFFFFF;#000000
72;#012416;#FFFFFF;#000000
73;#FFF99E;#333333;#333333
74;#DFF4FF;#333333;#333333
75;#D2FFCB;#333333;#333333
76;#FFE013;#333333;#333333
77;#92DAFF;#333333;#333333
78;#5AE046;#333333;#333333
79;#FFAA34;#333333;#333333
80;#1AA8F0;#333333;#333333
81;#01D8A5;#333333;#333333
82;#FA5911;#FFFFFF;#333333
83;#1182A8;#FFFFFF;#333333
84;#41A132;#FFFFFF;#333333
85;#DE0000;#FFFFFF;#000000
86;#0D3375;#FFFFFF;#000000
87;#064B10;#FFFFFF;#000000
88;#740000;#FFFFFF;#000000
89;#0D0943;#FFFFFF;#000000
90;#012416;#FFFFFF;#000000

