Delivery Methods,"Způsoby dodání"
Shipments,"Způsoby dodání"
Delivery Method Key,"Klíč způsobů dodání"
Available in Store,"Dostupný v regionu"
Carrier Company,"Dopravní společnost"
Availability Plugin,"Dostupnost plugin"
Price Plugin,"Cena plugin"
Delivery Time Plugin,"Čas dodání plugin"
Store Relation,"Region vztah"
Available in the following store(s),"Dostupné v těchto regionech"

"Shipment n° %shipmentNumber%","Doprava n° %shipmentNumber%"
"New address","Nová adresa"
"Carrier was created successfully.","Dopravce byl vytvořen úspěšně."
Name,"Jméno"
Enabled?,"Povoleno?"
"Carrier with the same name already exists.","Dopravce se stejným názvem již existuje."
View,"Náhled"
Edit,"Upravit"
Delete,"Smazat"
"Delivery Method Key","Klíč způsobů dodání"
"Carrier Company","Dopravní společnost"
Status,"Status"
"Method Name","Jméno"
"Available in Store","Dostupný v regionu"
Actions,"Akce"
Add Carrier Company,"Přidat nového dopravce"
"Delivery Methods","Způsoby dodání"
"Create new Carrier company","Vytvořit nového dopravce"
"Create new carrier company","Vytvořit nového dopravce"
"Create new delivery method","Vytvořit nový způsob dodání"
"Shipment method is not found","Způsob dopravy nebyl nalezen"
"View Delivery Method: %s","Náhled způsobu doručení: %s"
"List of delivery methods","Seznam způsobů dodání"
Configuration,"Konfigurace"
"Availability plugin","Dostupnost plugin"
"Price plugin","Cena plugin"
"Delivery Time plugin","Čas dodání plugin"
"Is this delivery method active?","Je tento způsob doručení aktivní?"
"Store relation","Region vztah"
"Price & Tax","Cena a daň"
None,"Není"
"Delivery method not found.","Způsob dodání nenalezen"
"Delivery method was deleted successfully.","Způsob dodání byl úspěšně smazán"
"Delete Delivery Method","Smazat způsob dodání"
"Delete Delivery Method: %s","Smazat způsob dodání: %s"
"No, I want to keep this delivery method","Ne, chci ponechat tento způsob dodání"
"Yes, delete this delivery method","Ano, smazat tento způsob doručení"
"Shipment method has been successfully saved","Způsob dopravy byl úspěšně uložen"
"Create Delivery Method","Vytvořit způsob dodání"
Save,"Uložit"
Carrier,"Dopravce"
"Select one","Jednu vybrat"
"Shipment method has been successfully updated","Způsob dopravy byl úspěšně aktualizován"
"Shipment method not found","Způsob dopravy nenalezen"
"Edit Delivery Method: %s","Upravit způsob dodání: %s"
"This shipment method key is already in use.","Klíč způsobu dopravy je již používán."
"This name is already in use.","Název už je používán."
"Tax set","Daňové nastavení"
"Are you sure about deleting this delivery method?","Opravdu chcete vymazat tento způsob dodání?"
