"Incorrect password provided, it should contain at least 3 of the following: small letters, capital letters, numbers, special symbols","Nesprávné heslo - mělo by obsahovat min. 3 z těchto prvků: malá písmena, velká písmena, čísla, speciální znaky"
Merchant,"Pobočky"
Groups,"Skupiny"
E-mail,"E-mail"
Users,"Uživatelé"
List Users,"Seznam uživatelů"
User Management,"Správa uživatele"
Last Login,"Poslední přihlášení"
"General Information","Obecné informace"
"active","Aktivní"
"blocked","zablokováno"
"deleted","vymazáno"
Update,"Aktualizovat"
